"Java 2 (v1.4)","2002","February 6","Java 2 (v1.3), Java 2 (v1.4.0_01)"
"Java 2 (v1.4.0_01)","2002","June 4","Java 2 (v1.4), Java 2 (v1.4.1)"
"Java 2 (v1.4.0_02)","2003","February 27","Java 2 (v1.4.1), Java 2 (v1.4.1_03)"
"Java 2 (v1.4.0_03)","2003","June 11","Java 2 (v1.4.1_02), Java 2 (v1.5)"
"Java 2 (v1.4.1)","2002","September","Java 2 (v1.4.0_01), Java 2 (v1.4.1_02), ActionScript"
"Java 2 (v1.5)","2003","December 19","Java 2 (v1.4.0_03)"
"JavaScript","1995","December ","JScript, LiveScript, JavaScript 1.5"
"JavaScript 1.5","2000","","JavaScript"
"JavaScript 1.5","2000","","JavaScript, ECMAScript ed3"
"K","1996","","J"
"KRC","1981","","SASL, Miranda"
"LISP","1958","","LISP 1"
"LISP 1","1959","","LISP, LISP 1.5"
"LISP 1.5","1962","","LISP 1, Common Lisp, Logo, Smalltalk, Scheme, "
"LiveScript","1995","","Cmm, JavaScript"
"M","1994","","MUMPS ISO, M ANSI"
"M ANSI","1995","December 8","M, Open M"
"M ISO ","1999","","Open M"
"ML","1973","","Miranda, SML"
"MS Basic 2.0","1975","July","BASIC, Visual Basic 1.0"
"MUMPS","1966","","MUMPS (ANSI)"
"MUMPS (ANSI)","1977","September 15","MUMPS, MUMPS (FIPS)"
"MUMPS (FIPS)","1986","","MUMPS (ANSI), MUMPS ISO"
"MUMPS ISO","1992","","MUMPS (FIPS), M"
"Mesa","1977","","Pascal, ALGOL 68, Cedar"
"Miranda","1982","","KRC, SASL, ML, Haskell 1.0"
"Modula","1975","","Pascal, Modula 2"
"Modula 2","1979","","Modula, Oberon, Modula 3, Modula 2 ISO"
"Modula 2 ISO","1997","","Modula 2"
"Modula 3","1988","","Modula 2, Python"
"NetRexx","1991","","Rexx 3.20, Oak, NetRexx 1.150"
"NetRexx 1.150","1999","July 23","NetRexx"
"Oak","1991","June","NetRexx, Ada 83 ANSI, Objective-C, C++, Cedar, Smalltalk-80, Scheme 84, Java 1"
"Object Pascal","1985","","Pascal AFNOR"
"Objective Caml","1996","","Caml 3.1"
"Objective-C","1983","","C (K&R), Smalltalk-80"
"Open M","1995","December 11","M ANSI, M ISO"
"PHP 2.0","1997","November 13","PHP/FI, PHP 3.0"
"PHP 3.0","1998","June 6","PHP 2.0, PHP 4.0"
"PHP 4.0","2000","May 22","PHP 3.0, PHP 4.1.0"
"PHP 4.1.0","2001","December 8","PHP 4.0, PHP 4.2.0"
"PHP 4.2.0","2002","April 22","PHP 4.1.0, PHP 4.2.2"
"PHP 4.2.2","2002","July 22","PHP 4.2.0, PHP 4.2.3"
"PHP 4.2.3","2002","September 6","PHP 4.2.2, PHP 4.3.0"
"PHP 4.3.0","2002","December 27","PHP 4.2.3, PHP 4.3.1"
"PHP 4.3.1","2003","February 17","PHP 4.3.0, PHP 4.3.2"
"PHP 4.3.2","2003","May 29","PHP 4.3.1, PHP 4.3.3"
"PHP 4.3.3","2003","August 25","PHP 4.3.2"
"PHP/FI","1995","","Perl 5.000, PHP 2.0"
"PL/1 ANS","1976","","PL/1"
"PL/I","1964","","FORTRAN IV, COBOL 61 Extended, ALGOL 60, PL/M, PL/1 ANS"
"Pascal ","1970","","ALGOL 68, CLU, Mesa, Modula, Ada, Pascal AFNOR"
"Pascal AFNOR","1983","","Pascal, Object Pascal, Borland Pascal Object"
"Perl 5.000","1994","October 18","Perl 4.000, PHP/FI, Perl 5.005_50"
"Perl 5.005_05","1998","July 26","Perl 5.000, Perl 5.6.0"
"Perl 5.6.0","2000","March 28","Perl 5.005_50, Perl 5.7,0"
"Perl 5.7,0","2000","September 2","Perl 5.6.0, Perl 5.8.0"
"Perl 5.8.0","2002","July 18","Perl 5.7,0, Perl 5.8.2"
"Perl 5.8.2","2003","October","Perl 5.8.0"
"Prolog","1970","","Prolog II"
"Prolog II","1982","October","Prolog, Prolog III"
"Prolog III","1984","","Prolog II, Prolog IV"
"Prolog IV","1997","","Prolog III"
"Python","1991","","Modula 3, ANSI C (C89), Python 1.5.2"
"Python","1991","","Modula 3, ANSI C (C89), Ruby, Python 1.5.2"
"Python 1.5.2","1999","April 13","Python, Python 1.6"
"Python 1.6","2000","September 5","Python 1.5.2, Python 2.0"
"Python 2.0","2000","October 16","Python 1.6, Python 2.1"
"Python 2.1","2001","April 17","Python 2.0, Python 2.2"
"Python 2.2","2001","December 21","Python 2.1, Python 2.2.1"
"Python 2.2.1","2002","April 10","Python 2.2, Python 2.2.2"
"Python 2.2.2","2002","October 14","Python 2.2.1, Python 2.3a2"
"Python 2.2.3","2003","May 30","Python 2.3a2, Python 2.3"
"Python 2.3","2003","July 29","Python 2.2.3, Python 2.3.1"
"Python 2.3.1","2003","September 23","Python 2.3"
"Python 2.3a2","2003","February 19","Python 2.2.2, Python 2.2.3"
"Ruby","1993","February 24","Ruby 0.95, Python, Eiffel 2,  Smalltalk-80, Perl 4.000"
"Ruby 0.95","1995","December","Ruby, Ruby 1.1 alpha 0"
"Ruby 1.1 alpha 0","1997","August 13","Ruby 0.95, Ruby 1.3.2"
"Ruby 1.3.2","1999","April 2","Ruby 1.1 alpha 0, Ruby 1.6.1"
"Ruby 1.6.1","2000","September 27","Ruby 1.3.2, Ruby 1.6.5"
"Ruby 1.6.5","2001","September 19","Ruby 1.6.1, Ruby 1.6.7"
"Ruby 1.6.7","2002","March 1","Ruby 1.6.5, Ruby 1.6.8"
"Ruby 1.6.8 ","2002","December 24","Ruby 1.6.7, Ruby 1.8"
"Ruby 1.8","2003","August 4","Ruby 1.6.8"
"SASL","1976","","ISWIM, KRC, Miranda"
"SML","1984","","ML, Caml, SML '90"
"SML '90","1990","","SML, SML '97"
"SML '97","1997","","SML '90"
"SNOBOL","1962","","SNOBOL 2"
"SNOBOL 2","1964","April","SNOBOL, SNOBOL 3"
"SNOBOL 3","1965","","SNOBOL 2, SNOBOL 4"
"SNOBOL 4","1967","","SNOBOL 3"
"SNOBOL 4","1967","","SNOBOL 3, Icon"
"Sather 0.1","1991","June","Sather 1.0"
"Sather 1.0","1994","mid","Sather 0.1, Sather 1.1"
"Sather 1.1","1995","September","Sather 1.0, Sather 1.2.1"
"Sather 1.2.1","1999","November 4","Sather 1.1"
"Scheme","1975","","LISP 1.5, Scheme MIT"
"Scheme 84","1984","","Scheme MIT, Scheme IEEE"
"Scheme IEEE","1990","","Scheme 84, Scheme R5RS"
"Scheme MIT","1978","","Scheme, Scheme 84"
"Scheme R5RS","1998","","Scheme IEEE"
"Self","1986","","Smalltalk-80, Self 4.0"
"Self 4.0","1995","July 10","Self, Self 4.1"
"Self 4.1","2001","August 7","Self 4.0, Self 4.1.6"
"Self 4.1.6","2002","September","Self 4.1"
"Sharp APL","1983","","APL, J"
"Simula 67","1967","","Simula I, Smalltalk, C with Classes, Eiffel"
"Simula I","1964","","Simula 67, ALGOL 60"
"Smalltalk","1969","","Simula 67, Smalltalk-72, LISP 1.5 "
"Smalltalk-72","1972","","Smalltalk, Smalltalk-74"
"Smalltalk-74","1974","","Smalltalk-72, Smalltalk-76"
"Smalltalk-76","1976","","Smalltalk-74, Smalltalk-78"
"Smalltalk-78","1978","","Smalltalk-76, Smalltalk-80"
"Smalltalk-80","1980","","Smalltalk-78, Self, Oak, Dylan, Ruby, AppleScript"
"Tcl/Tk 8.4.1","2002","October 22","Tcl/Tk 8.4, Tcl/Tk 8.4.2"
"Tcl/Tk 8.4.2","2003","March 3","Tcl/Tk 8.4.1, Tcl/Tk 8.4.3"
"Tcl/Tk 8.4.3","2003","May 20","Tcl/Tk 8.4.2"
"VB.NET","2000","July","Visual Basic 6.0"
"VBScript","1995","","Visual Basic 1.0, VBScript 2.0"
"VBScript 2.0","1997","","VBScript"
"Visual Basic 1.0","1991","May 20","MS Basic 2.0, VBScript, Visual Basic 6.0"
"Visual Basic 6.0","1998","June 16","Visual Basic 1.0, VB.NET"
"What?","When?","When? (month, day)","What are related?"
"awk","1978","","C, Rex 1.00, nawk"
"bash","1989","","sh"
"csh","1978","October","C, sh, tcsh, Rex 1.00"
"ksh","1992","","sh"
"nawk","1985","","awk, perl 1.000"
"perl 1.000","1987","December 18","nawk, sh, perl 3.000"
"perl 3.000","1989","October 18","perl 1.000, perl 4.000"
"perl 4.000","1991","March 21","perl 3.000, Ruby, perl 5.000"
"sh","1971","","csh, perl 1.000, bash, ksh"
"tcsh","1979","","csh"
