"A","1988","",""
"A+","1992","",""
"ABC","1987","",""
"ALGOL 58","1958","",""
"ALGOL 60","1960","",""
"ALGOL 68","1968","December",""
"ANSI C (C89)","1989","",""
"APL","1960","",""
"APL 2","1984","August",""
"APL96","1996","",""
"ActionScript","2000","July",""
"ActionScript 2.0","2003","September",""
"Ada","1979","",""
"Ada 83 ANSI","1983","Jan.",""
"Ada 95","1995","",""
"Ada ISO","1987","",""
"AppleScript","1993","",""
"AppleScript 1.3.7","1999","",""
"B","1969","",""
"B","1981","",""
"B-0","1957","",""
"BASIC","1964","May 1",""
"BCPL","1967","July",""
"Borland Pascal Object","1989","",""
"C","1971","",""
"C (K&R)","1978","",""
"C with Classes","1980","April",""
"C#","2000","June 26",""
"C# (ECMA)","2001","December 13",""
"C# (ISO)","2003","March 28",""
"C++","1983","July",""
"C++ ANSI/ISO","1998","",""
"CLU","1974","",""
"COBOL","1959","",""
"COBOL","1965","",""
"COBOL 2002 (draft)","2001","",""
"COBOL 61","1961","",""
"COBOL 61 Extended","1962","",""
"COBOL 68 ANS","1968","",""
"COBOL 74 ANSI","1974","",""
"COBOL 85 OSI/ANSI","1985","",""
"CPL","1963","",""
"Caml","1987","",""
"Caml 2-6.1","1991","",""
"Caml 3.1","1993","",""
"Cedar","1983","",""
"Clos","1989","",""
"Cmm","1992","",""
"Common Lisp","1984","",""
"Common Lisp ANSI","1994","December 8",""
"Concurrent C","1984","",""
"Delphi","1995","March 2",""
"Delphi 5","1999","August",""
"Delphi 6","2001","May 1",""
"Delphi 7","2002","August 6",""
"Dylan","1992","",""
"ECMAScript","1997","June",""
"ECMAScript ed3","1999","December",""
"Eiffel","1986","",""
"Eiffel 2","1989","",""
"Eiffel 3","1995","",""
"Eiffel 4","1996","December 11",""
"Eiffel 4.2","1998","February 6",""
"FORTRAN","1954","November",""
"FORTRAN I","1956","October",""
"FORTRAN II","1957","",""
"FORTRAN III","1958","end",""
"FORTRAN IV","1962","",""
"FORTRAN IV (FORTRAN 66 ANS)","1966","",""
"FORTRAN V (FORTRAN 77 ANSI)","1978","April",""
"Flow-Matic","1958","",""
"Forth","1969","",""
"Fortran 2000 (draft)","2002","September 30",""
"Fortran 90 ISO","1991","",""
"Fortran 95 ISO","1997","December 15",""
"Haskell 1.0","1987","",""
"Haskell 1.1","1990","April 1",""
"Haskell 1.2","1992","March",""
"Haskell 1.3","1996","May",""
"Haskell 1.4","1997","April",""
"Haskell 98","1999","February",""
"ISO C (C90)","1990","December 15",""
"ISO C (C95)","1996","April 1",""
"ISO C (C99)","1999","December 1",""
"ISWIM","1966","",""
"Icon","1970","",""
"J","1990","",""
"JScript","","",""
"JScript","1996","May",""
"Java 1","1995","May 23",""
"Java 2 (v1.2)","1998","December 8",""
"Java 2 (v1.3)","2000","May 8",""
"Java 2 (v1.4)","2002","February 6",""
"Java 2 (v1.4.0_01)","2002","June 4",""
"Java 2 (v1.4.0_02)","2003","February 27",""
"Java 2 (v1.4.0_03)","2003","June 11",""
"Java 2 (v1.4.1)","2002","September",""
"Java 2 (v1.4.1_02)","2003","February 27",""
"Java 2 (v1.4.1_03)","2003","June 11",""
"Java 2 (v1.5) early release","2003","December 19",""
"JavaScript 1.5","2000","",""
"K","1996","",""
"KRC","1981","",""
"LISP","1958","",""
"LISP 1","1959","",""
"LISP 1.5","1962","",""
"LiveScript","1995","",""
"Logo","1968","",""
"M","1994","",""
"M ANSI","1995","December 8",""
"M ISO","1999","",""
"ML","1973","",""
"MS Basic 2.0","1975","July",""
"MUMPS","1966","",""
"MUMPS (ANSI)","1977","September 15",""
"MUMPS (FIPS)","1986","",""
"MUMPS ISO","1992","",""
"Mesa","1977","",""
"Miranda","1982","",""
"Modula","1975","",""
"Modula 2","1979","",""
"Modula 2 ISO","1997","",""
"Modula 3","1988","",""
"NetRexx","1991","",""
"NetRexx 1.150","1999","July 23",""
"OO COBOL","1997","",""
"OO Forth","1987","",""
"Oak","1991","June",""
"Oberon","1987","",""
"Oberon-2","1991","",""
"Object Logo","1986","",""
"Object Pascal","1985","",""
"Object Rexx","1997","February 25",""
"Objective Caml","1996","",""
"Objective-C","1983","",""
"Open M","1995","December 11",""
"PHP 2.0","1997","November 13",""
"PHP 3.0","1998","June 6",""
"PHP 4.0","2000","May 22",""
"PHP 4.1.0","2001","December 8",""
"PHP 4.2.0","2002","April 22",""
"PHP 4.2.2","2002","July 22",""
"PHP 4.2.3","2002","September 6",""
"PHP 4.3.0","2002","December 27",""
"PHP 4.3.1","2003","February 17",""
"PHP 4.3.2","2003","May 29",""
"PHP 4.3.3","2003","August 25",""
"PHP/FI","1995","",""
"PL/1 ANS","1976","",""
"PL/I","1964","",""
"PL/M","1972","",""
"Pascal","1970","",""
"Pascal AFNOR","1983","",""
"Perl 4.000","1991","March 21",""
"Perl 5.000","1994","October 18",""
"Perl 5.005_05","1998","July 26",""
"Perl 5.6.0","2000","March 28",""
"Perl 5.7.0","2000","September 2",""
"Perl 5.8.0","2002","July 18",""
"Perl 5.8.2","2003","October",""
"PostScript","1982","",""
"PostScript level 2","1992","",""
"PostScript level 3","1996","September 11",""
"Prolog","1970","",""
"Prolog II","1982","October",""
"Prolog III","1984","",""
"Prolog IV","1997","",""
"Python","1991","",""
"Python 1.5.2","1999","April 13",""
"Python 1.6","2000","September 5",""
"Python 2.0","2000","October 16",""
"Python 2.1","2001","April 17",""
"Python 2.2","2001","December 21",""
"Python 2.2.1","2002","April 10",""
"Python 2.2.2","2002","October 14",""
"Python 2.2.3","2003","May 30",""
"Python 2.3","2003","July 29",""
"Python 2.3.1","2003","September 23",""
"Python 2.3a2","2003","February 19",""
"Rex 1.00","1979","May",""
"Rex 2.00","1980","",""
"Rex 3.00","1982","",""
"Rexx 3.2","1984","",""
"Ruby","1993","February 24",""
"Ruby 0.95","1995","December",""
"Ruby 1.1 alpha 0","1997","August 13",""
"Ruby 1.3.2","1999","April 2",""
"Ruby 1.6.1","2000","September 27",""
"Ruby 1.6.5","2001","September 19",""
"Ruby 1.6.7","2002","March 1",""
"Ruby 1.6.8","2002","December 24",""
"Ruby 1.8","2003","August 4",""
"SASL","1976","",""
"SML","1984","",""
"SML '90","1990","",""
"SML '97","1997","",""
"SNOBOL","1962","",""
"SNOBOL 2","1964","April",""
"SNOBOL 3","1965","",""
"SNOBOL 4","1967","",""
"Sather 0.1","1991","June",""
"Sather 1.0","1994","mid",""
"Sather 1.1","1995","September",""
"Sather 1.2.1","1999","November 4",""
"Scheme","1975","",""
"Scheme 84","1984","",""
"Scheme IEEE","1990","",""
"Scheme MIT","1978","",""
"Scheme R5RS","1998","",""
"Self","1986","",""
"Self 4.0","1995","July 10",""
"Self 4.1","2001","August 7",""
"Self 4.1.6","2002","September",""
"Sharp APL","1983","",""
"Simula 67","1967","",""
"Simula I","1964","",""
"Smalltalk","1969","",""
"Smalltalk-72","1972","",""
"Smalltalk-74","1974","",""
"Smalltalk-76","1976","",""
"Smalltalk-78","1978","",""
"Smalltalk-80","1980","",""
"Tcl","1988","",""
"Tcl/Tk","1988","",""
"Tcl/Tk 8.1","1999","April",""
"Tcl/Tk 8.2.3","1999","December 16",""
"Tcl/Tk 8.3","2001","October 22",""
"Tcl/Tk 8.4","2002","September 10",""
"Tcl/Tk 8.4.1","2002","October 22",""
"Tcl/Tk 8.4.2","2003","March 3",""
